Card   1: 84 17 45 77 11 66 94 28 71 70 | 45 51 86 83 53 58 64 30 67 96 41 89  8 17 33 50 80 84  6  2 87 72 27 63 77
Card   2: 18 17 59  8 78 79 34 35 48 73 | 61 49 59 99 77  8 79 64 36  6  3 67  4 90 83 22  9 82 39 78 92 42 33 70 17
Card   3: 60 78 77 44 62 54 94 50 32 11 |  2  6 89 50 11 60 57 53 71 44 47 62 49 42 73 78 77 54 99 29 35 94 32 68 74
Card   4: 74 19 54  9 79 24 21 88 53  7 | 21 30 53 62 74 79 54 19 45 67  7 80 16 24 89 38 71 41 88 47  5  9  4 73 97
Card   5: 68 18 23 55  9 60 82 27 76 16 | 55 26 12 23 74  7 58 29 45 86  5  6 93 87 14  2 66 22 60 78 17  9 34 67 71
Card   6: 53 11 94 57 45 24 20  1  8 92 | 29 66 16 45 48 98 61 49  8 56 94 28 19 67 24 20 97 57  1 75  5 85 35 82 12
Card   7: 99 29 90 82 88 72 84 36 53 81 | 93 22  9 59 15 81 32 98 28 96 53  2 90 99 92 74 82 65 72 33 31  7  1 97 36
Card   8: 71  3 88  1 35 32  2 59  8 92 | 33 59  2 87  1 80 93 76 71 98 10 17 32 89 85  8 35 16 92 19 46 49  3 54 88
Card   9: 19 14 92 73 64 53 59 24 76 65 | 76 29 55 79 88 92 43 37 99  4 96 19 69 53  2 52 33  3 73 35 82  5 85 14 57
Card  10: 39  3 43 61 53 40 89 16 60 12 | 47 44 63  1 67 26 55 12 20 68 78 92 56 32 74 76 22 42 71 88 33 11 94 18 89
Card  11: 55 43 88 90 60 93 58  2 89  4 | 69 89 58 75 18 43 80 40 72 81 37 22 34 60 33 65 88 50 90 39 87  2  7  4 55
Card  12: 60 41 82 51 83 87 19 88 24 76 | 43 22 64 88 30 14 19 83 99 81 51 82 25 45 35 65 53 13 86 34 60 58 84 15 11
Card  13: 36 23 86 64  5 46 41 24 53 16 | 41 46 57 83 35 63 65 43 64 59 82 24 75 54 23 22 45 36 48 53 61 86  5 16 74
Card  14: 95 49 89 23 59 77 85 16 20 25 | 28 65 51 90 81 44 86 60 78 82 19 37 18 22 93 50 94 13 48 30  7  9 49 43 89
Card  15: 78 68 34 44 80 25 70 98 71 99 | 80 73 44 20 38 34 70 57 75 77 98 40 55 71 19 67 32 10 60 94 62 68 22 13 66
Card  16: 19 47  8 42 85 14 35 24 95 61 | 51 33 98 48 14 25 62 40 37 77 91  8  6 35 63 20 11 97 27 89  1 72 57 31 78
Card  17: 99 36 90 26 17 86  1 83 97 29 | 44 67 36 33 19 54 84 21 17 83 26 13 64 99  1  7 95 29 90 45 43 89 32 82 81
Card  18: 44 18 77 17 73 41 36 33 98 96 |  7 71  3 63 26 55 12 20 86 51 31 50 49 23 85 62 79 61 22 80 99 27  8 30 83
Card  19: 93 51 80 97 98 40 81 62 91 42 |  9 27 31 29 34 35 52 46 76 39 28 14 45 58 33 18 89 60 92 22 13 17 26 71 53
Card  20: 43 52 12 79 87 31 63 69 70 39 | 18 51 75 37 64 53 36 13 77  9 93  4 19 43 86 52 42 31 90 41 16 23 98 85 20
Card  21: 74 10 94 30 26 66 43 35 38 81 | 68 91 83 61  5 10 78 23 93 81 95 49 33 29 39 82 86 66 58 72  3 63 67  1 18
Card  22: 76  5 94 78 96 31 70 19 77 48 | 23 74 36 90 82 57  4 38 21 20 92 67 51  8 33 68  3 25 99  2 10 78  6 29 44
Card  23: 79 68 54 32 86 26 69 28 80 19 | 34 42  7 88 14 78 99 37 89 15  3 22 91 23 60  9 35 19 92 70 75 20 96 29 57
Card  24: 75 92  1 74 31  7 40 58 66 13 | 18 93 33 39 34  3 50 53 98 29 44 92 59 38 83  5 23 52 37 72 80  8 24 26 46
Card  25: 82 34 19 18 77 27 52 85 41  6 | 32 44  3 89 21 57 45 24 86 25 96  2 58 40 12 16 73 15 64 80 47 43 53 51 92
Card  26: 71 43 90 23 40 59 93 99 56 97 | 84  7 99 90 16 97 70 54 40 59 36 71 23 81 33 62 77 93 56 87 39 43 24 42  1
Card  27:  8 51 91 67  4 72 63 94 26 40 | 15 72 63  9 20 56 24 51 79 67 55  8 40  4 66 46 91 13 64 26 37 43 94 60 75
